cdm_name,denominator_cohort_name,outcome_cohort_name,incidence_start_date,incidence_end_date,analysis_censor_cohort_name,analysis_complete_database_intervals,analysis_outcome_washout,analysis_repeated_events,denominator_age_group,denominator_days_prior_observation,denominator_end_date,denominator_requirements_at_entry,denominator_sex,denominator_start_date,denominator_target_cohort_name,denominator_time_at_risk,denominator_count,outcome_count,person_days,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,result_type
mock,denominator_cohort_1,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,441785,293,149061555,408108.296,71.795,63.808,80.504,tidy_incidence
mock,denominator_cohort_4,cohort_1,2021-02-17,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,370626,11,12110587,33156.98,33.176,16.561,59.36,tidy_incidence
mock,denominator_cohort_7,cohort_1,2021-03-10,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,367368,198,145968754,399640.668,49.545,42.883,56.947,tidy_incidence
mock,denominator_cohort_10,cohort_1,2021-11-26,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,270383,165,132790494,363560.559,45.384,38.724,52.862,tidy_incidence
mock,denominator_cohort_13,cohort_1,2022-06-04,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,106011,45,41364191,113248.983,39.735,28.983,53.169,tidy_incidence
mock,denominator_cohort_16,cohort_1,2022-10-25,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,35579,27,8509438,23297.572,115.892,76.373,168.617,tidy_incidence
mock,denominator_cohort_19,cohort_1,2023-05-08,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,11135,15,1868549,5115.808,293.209,164.107,483.603,tidy_incidence
mock,denominator_cohort_22,cohort_1,2023-09-20,2024-03-31,None,FALSE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_7,0 to Inf,4534,6,657951,1801.372,333.079,122.234,724.974,tidy_incidence
mock,denominator_cohort_2,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,274105,936,78083765,213781.697,437.83,410.227,466.802,tidy_incidence
mock,denominator_cohort_5,cohort_1,2021-02-17,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,244716,32,6724222,18409.916,173.819,118.892,245.381,tidy_incidence
mock,denominator_cohort_8,cohort_1,2021-03-12,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,243870,531,72924490,199656.372,265.957,243.814,289.571,tidy_incidence
mock,denominator_cohort_11,cohort_1,2021-08-08,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,215180,484,82170748,224971.247,215.139,196.396,235.187,tidy_incidence
mock,denominator_cohort_14,cohort_1,2022-05-28,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,140053,268,48443562,132631.244,202.064,178.594,227.761,tidy_incidence
mock,denominator_cohort_17,cohort_1,2022-10-17,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,72276,143,18702577,51204.865,279.27,235.375,328.976,tidy_incidence
mock,denominator_cohort_20,cohort_1,2023-05-08,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,30630,52,4937979,13519.45,384.631,287.261,504.392,tidy_incidence
mock,denominator_cohort_23,cohort_1,2023-09-20,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_7,0 to Inf,10883,11,1614572,4420.457,248.843,124.222,445.249,tidy_incidence
mock,denominator_cohort_3,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,358050,6059,73428101,201035.184,3013.9,2938.484,3090.763,tidy_incidence
mock,denominator_cohort_6,cohort_1,2021-02-22,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,332122,497,8128108,22253.547,2233.352,2041.294,2438.612,tidy_incidence
mock,denominator_cohort_9,cohort_1,2021-03-15,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,330987,5009,81101653,222044.225,2255.857,2193.813,2319.211,tidy_incidence
mock,denominator_cohort_12,cohort_1,2021-05-15,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,316603,4117,67097997,183704.304,2241.102,2173.161,2310.626,tidy_incidence
mock,denominator_cohort_15,cohort_1,2022-05-16,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,288937,3612,55558217,152110.108,2374.596,2297.78,2453.324,tidy_incidence
mock,denominator_cohort_18,cohort_1,2022-10-24,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,251655,3270,58933697,161351.669,2026.629,1957.756,2097.307,tidy_incidence
mock,denominator_cohort_21,cohort_1,2023-01-30,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,198775,1557,30982817,84826.33,1835.515,1745.465,1929.007,tidy_incidence
mock,denominator_cohort_24,cohort_1,2023-09-12,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_7,0 to Inf,155173,1006,24209631,66282.357,1517.749,1425.398,1614.514,tidy_incidence
