cdm_name,denominator_cohort_name,outcome_cohort_name,incidence_start_date,incidence_end_date,analysis_interval,analysis_censor_cohort_name,analysis_complete_database_intervals,analysis_outcome_washout,analysis_repeated_events,denominator_age_group,denominator_days_prior_observation,denominator_end_date,denominator_requirements_at_entry,denominator_sex,denominator_start_date,denominator_target_cohort_name,denominator_time_at_risk,denominator_count,outcome_count,person_days,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,result_type
mock,denominator_cohort_1,cohort_1,2021-04-01,2021-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,429870,50,37588325,102911.225,48.586,36.061,64.054,tidy_incidence
mock,denominator_cohort_1,cohort_1,2021-07-01,2021-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,387950,49,23892333,65413.643,74.908,55.417,99.032,tidy_incidence
mock,denominator_cohort_1,cohort_1,2021-10-01,2021-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,110655,18,7470499,20453.112,88.006,52.158,139.088,tidy_incidence
mock,denominator_cohort_1,cohort_1,2022-01-01,2022-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,73189,24,6389921,17494.65,137.185,87.897,204.12,tidy_incidence
mock,denominator_cohort_1,cohort_1,2022-04-01,2022-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,69017,12,6187682,16940.95,70.834,36.601,123.733,tidy_incidence
mock,denominator_cohort_1,cohort_1,2022-07-01,2022-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,67306,10,6144744,16823.392,59.441,28.504,109.314,tidy_incidence
mock,denominator_cohort_1,cohort_1,2022-10-01,2022-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,66302,17,6071897,16623.948,102.262,59.571,163.732,tidy_incidence
mock,denominator_cohort_1,cohort_1,2023-01-01,2023-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,65751,24,5891168,16129.139,148.799,95.338,221.401,tidy_incidence
mock,denominator_cohort_1,cohort_1,2023-04-01,2023-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,65013,9,5896574,16143.94,55.748,25.492,105.828,tidy_incidence
mock,denominator_cohort_1,cohort_1,2023-07-01,2023-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,64634,18,5934111,16246.71,110.792,65.662,175.099,tidy_incidence
mock,denominator_cohort_1,cohort_1,2023-10-01,2023-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,64339,14,5905132,16167.37,86.594,47.342,145.29,tidy_incidence
mock,denominator_cohort_1,cohort_1,2024-01-01,2024-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,64038,11,5815889,15923.036,69.082,34.486,123.607,tidy_incidence
mock,denominator_cohort_4,cohort_1,2021-04-01,2021-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,42802,0,729175,1996.372,0,0,184.779,tidy_incidence
mock,denominator_cohort_4,cohort_1,2021-07-01,2021-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,295153,4,6643136,18187.915,21.993,5.992,56.31,tidy_incidence
mock,denominator_cohort_4,cohort_1,2021-10-01,2021-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,111575,1,1906384,5219.395,19.159,0.485,106.749,tidy_incidence
mock,denominator_cohort_4,cohort_1,2022-01-01,2022-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,7943,2,384506,1052.72,189.984,23.008,686.288,tidy_incidence
mock,denominator_cohort_4,cohort_1,2022-04-01,2022-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,5158,1,325216,890.393,112.31,2.843,625.751,tidy_incidence
mock,denominator_cohort_4,cohort_1,2022-07-01,2022-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,4057,0,308628,844.977,0,0,436.566,tidy_incidence
mock,denominator_cohort_4,cohort_1,2022-10-01,2022-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,3567,0,299636,820.359,0,0,449.666,tidy_incidence
mock,denominator_cohort_4,cohort_1,2023-01-01,2023-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,3376,0,287340,786.694,0,0,468.909,tidy_incidence
mock,denominator_cohort_4,cohort_1,2023-04-01,2023-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,3171,1,283809,777.027,128.696,3.258,717.046,tidy_incidence
mock,denominator_cohort_4,cohort_1,2023-07-01,2023-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,3124,0,285315,781.15,0,0,472.237,tidy_incidence
mock,denominator_cohort_4,cohort_1,2023-10-01,2023-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,3118,1,284181,778.045,128.527,3.254,716.108,tidy_incidence
mock,denominator_cohort_4,cohort_1,2024-01-01,2024-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,3092,1,279411,764.986,130.721,3.31,728.333,tidy_incidence
mock,denominator_cohort_7,cohort_1,2021-04-01,2021-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,29292,0,1237997,3389.451,0,0,108.834,tidy_incidence
mock,denominator_cohort_7,cohort_1,2021-07-01,2021-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,247781,8,9432358,25824.389,30.978,13.374,61.04,tidy_incidence
mock,denominator_cohort_7,cohort_1,2021-10-01,2021-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,359130,38,30634597,83872.956,45.307,32.062,62.187,tidy_incidence
mock,denominator_cohort_7,cohort_1,2022-01-01,2022-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,355182,31,28626498,78375.08,39.553,26.875,56.143,tidy_incidence
mock,denominator_cohort_7,cohort_1,2022-04-01,2022-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,236202,21,14601680,39977.221,52.53,32.517,80.298,tidy_incidence
mock,denominator_cohort_7,cohort_1,2022-07-01,2022-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,129122,17,10671338,29216.531,58.186,33.896,93.162,tidy_incidence
mock,denominator_cohort_7,cohort_1,2022-10-01,2022-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,107890,18,9368645,25649.952,70.176,41.59,110.908,tidy_incidence
mock,denominator_cohort_7,cohort_1,2023-01-01,2023-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,97018,16,8452379,23141.352,69.14,39.52,112.28,tidy_incidence
mock,denominator_cohort_7,cohort_1,2023-04-01,2023-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,91444,8,8262334,22621.038,35.365,15.268,69.684,tidy_incidence
mock,denominator_cohort_7,cohort_1,2023-07-01,2023-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,90464,14,8301203,22727.455,61.6,33.677,103.354,tidy_incidence
mock,denominator_cohort_7,cohort_1,2023-10-01,2023-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,90013,13,8256552,22605.207,57.509,30.621,98.342,tidy_incidence
mock,denominator_cohort_7,cohort_1,2024-01-01,2024-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,89501,14,8118628,22227.592,62.985,34.434,105.678,tidy_incidence
mock,denominator_cohort_10,cohort_1,2022-01-01,2022-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,119732,1,3588506,9824.794,10.178,0.258,56.71,tidy_incidence
mock,denominator_cohort_10,cohort_1,2022-04-01,2022-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,230025,18,17903710,49017.687,36.721,21.763,58.036,tidy_incidence
mock,denominator_cohort_10,cohort_1,2022-07-01,2022-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,250511,19,21129092,57848.301,32.845,19.775,51.291,tidy_incidence
mock,denominator_cohort_10,cohort_1,2022-10-01,2022-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,233843,32,18354911,50253.008,63.678,43.556,89.894,tidy_incidence
