ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
20,2021,0,37,81405.18904114487,4.545164802860292e-4,7.472204907261859e-5,3.2931414990172275e-4,6.27319630551106e-4
20,2021,1,0,269.16917808226617,0,0,0,0
20,2021,2,0,17.59315068493288,0,0,0,0
20,2021,3,0,0,0,0,0,0
20,2021,4,0,0,0,0,0,0
20,2021,5,0,0,0,0,0,0
20,2021,6,0,0,0,0,0,0
20,2021,7,0,0,0,0,0,0
20,2021.25,0,55,118023.37671232887,4.660093748550971e-4,6.283669128677757e-5,3.577804054327431e-4,6.06977727553785e-4
20,2021.25,1,0,1978.904794520475,0,0,0,0
20,2021.25,2,0,3491.530136986413,0,0,0,0
20,2021.25,3,0,0,0,0,0,0
20,2021.25,4,0,0,0,0,0,0
20,2021.25,5,0,0,0,0,0,0
20,2021.25,6,0,0,0,0,0,0
20,2021.25,7,0,0,0,0,0,0
20,2021.5,0,48,78263.52534246614,6.13312520614951e-4,8.852403721860246e-5,4.6218858280081004e-4,8.138501510868688e-4
20,2021.5,1,4,17649.338356164695,2.2663739111799904e-4,1.133186955589995e-4,8.50595283013106e-5,6.038654114189514e-4
20,2021.5,2,8,22690.92876712289,3.5256379684163827e-4,1.2465012577379936e-4,1.7631407897359026e-4,7.049988949663552e-4
20,2021.5,3,0,0,0,0,0,0
20,2021.5,4,0,0,0,0,0,0
20,2021.5,5,0,0,0,0,0,0
20,2021.5,6,0,0,0,0,0,0
20,2021.5,7,0,0,0,0,0,0
20,2021.75,0,20,34256.930821917624,5.838234634611217e-4,1.305468951158433e-4,3.76654877903019e-4,9.049393927549293e-4
20,2021.75,1,1,4627.467123287424,2.161009410456026e-4,2.1610094104560263e-4,3.0439637315235404e-5,0.0015341712595708648
20,2021.75,2,27,57027.23835616461,4.7345796111274103e-4,9.11170270994708e-5,3.2468677537355e-4,6.903959691094169e-4
20,2021.75,3,0,176.78356164389493,0,0,0,0
20,2021.75,4,0,0,0,0,0,0
20,2021.75,5,0,0,0,0,0,0
20,2021.75,6,0,0,0,0,0,0
20,2021.75,7,0,0,0,0,0,0
20,2022,0,24,31764.37328767125,7.555634667382263e-4,1.5422874681641536e-4,5.064271381823429e-4,0.0011272621651329017
