ageGroup,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
0,0,63,260373.30774011268,2.4196028597095064e-4,3.0484130658724093e-5,1.890169731584962e-4,3.097329250852654e-4
0,1,1,972.3941911820173,0.001028389524606709,0.001028389524606709,1.4485732452784527e-4,0.00730087358556397
0,2,0,5878.9795493675665,0,0,0,0
0,3,0,2871.5834568456544,0,0,0,0
0,4,0,537.2798413055173,0,0,0,0
0,5,0,112.37756568606301,0,0,0,0
0,6,0,2.4085335728725568,0,0,0,0
0,7,0,0,0,0,0,0
10,0,24,211245.54083390854,1.1361186562924876e-4,2.3190924959775463e-5,7.614996556485364e-5,1.6950311029051752e-4
10,1,1,6290.786481024212,1.5896263575571057e-4,1.5896263575571057e-4,2.2391225857996608e-5,0.001128527742369151
10,2,9,84311.05957781387,1.0674756129346898e-4,3.5582520431156326e-5,5.5541665758984416e-5,2.0516204702160314e-4
10,3,5,47469.856897972684,1.0532999942988109e-4,4.710500775904565e-5,4.384056920542414e-5,2.53062608012993e-4
10,4,2,14739.712583277727,1.3568785610304298e-4,9.594580317512616e-5,3.3934350177741476e-5,5.42553318316274e-4
10,5,0,1168.145078224539,0,0,0,0
10,6,0,26.46692117673797,0,0,0,0
10,7,0,0,0,0,0,0
20,0,59,212133.90208101174,2.781262184932068e-4,3.620894950084527e-5,2.154879019420041e-4,3.589723261315611e-4
20,1,3,10451.06688374896,2.8705203338282086e-4,1.6572956874500109e-4,9.257850365055437e-5,8.900432240753613e-4
20,2,29,128993.01239613908,2.2481837939361128e-4,4.17477249899134e-5,1.5623011409403054e-4,3.2351831787531793e-4
20,3,18,109738.39609252432,1.640264541940595e-4,3.866140601820137e-5,1.0334276620523584e-4,2.603440827396086e-4
20,4,4,25829.8752526395,1.5485943934596619e-4,7.742971967298309e-5,5.8120466348446194e-5,4.126161997870497e-4
20,5,5,4263.959173591067,0.0011726191073703565,5.244112071590484e-4,4.8806882565774267e-4,0.0028172985011222424
20,6,0,739.1411108616437,0,0,0,0
20,7,0,211.90431170000556,0,0,0,0
30,0,77,191956.61920804222,4.0113229915008844e-4,4.571326804772401e-5,3.208355113520597e-4,5.015252854752393e-4
30,1,0,10963.367654764643,0,0,0,0
30,2,46,136628.53420914902,3.3667930543398685e-4,4.96406553900591e-5,2.5218038055173575e-4,4.4949156813670933e-4
