ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
20,2021,0,37,81405.18904114487,4.545164802860292e-4,7.472204907261859e-5,3.2931414990172275e-4,6.27319630551106e-4
20,2021,1,0,269.16917808226617,0,0,0,0
20,2021,2,0,17.59315068493288,0,0,0,0
20,2021,3,0,0,0,0,0,0
20,2021,4,0,0,0,0,0,0
20,2021,5,0,0,0,0,0,0
20,2021,6,0,0,0,0,0,0
20,2021,7,0,0,0,0,0,0
20,2021.25,0,55,118023.37671232887,4.660093748550971e-4,6.283669128677757e-5,3.577804054327431e-4,6.06977727553785e-4
20,2021.25,1,0,1985.019863013627,0,0,0,0
20,2021.25,2,0,3516.5506849315248,0,0,0,0
20,2021.25,3,0,0,0,0,0,0
20,2021.25,4,0,0,0,0,0,0
20,2021.25,5,0,0,0,0,0,0
20,2021.25,6,0,0,0,0,0,0
20,2021.25,7,0,0,0,0,0,0
20,2021.5,0,48,78263.52534246614,6.13312520614951e-4,8.852403721860246e-5,4.6218858280081004e-4,8.138501510868688e-4
20,2021.5,1,4,17715.37260274004,2.2579259774537958e-4,1.1289629887268979e-4,8.474246797233034e-5,6.016144964441344e-4
20,2021.5,2,8,26305.305479451617,3.041211593702722e-4,1.0752306704651711e-4,1.5208833859602162e-4,6.08131303363044e-4
20,2021.5,3,0,0,0,0,0,0
20,2021.5,4,0,0,0,0,0,0
20,2021.5,5,0,0,0,0,0,0
20,2021.5,6,0,0,0,0,0,0
20,2021.5,7,0,0,0,0,0,0
20,2021.75,0,20,34256.930821917624,5.838234634611217e-4,1.305468951158433e-4,3.76654877903019e-4,9.049393927549293e-4
20,2021.75,1,1,4891.389041095632,2.044409045361904e-4,2.044409045361904e-4,2.8797222984637867e-5,0.0014513928467988803
20,2021.75,2,38,83905.27123287726,4.528916889444505e-4,7.346873339888002e-5,3.2954041904210437e-4,6.224149453689636e-4
20,2021.75,3,0,176.78356164389493,0,0,0,0
20,2021.75,4,0,0,0,0,0,0
20,2021.75,5,0,0,0,0,0,0
20,2021.75,6,0,0,0,0,0,0
20,2021.75,7,0,0,0,0,0,0
20,2022,0,24,31764.37328767125,7.555634667382263e-4,1.5422874681641536e-4,5.064271381823429e-4,0.0011272621651329017
